,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6Q7TAXHQb7l5NnJX1cC6VF,Lollipop (Bigbang),2NE1,YG,2009-03-27,0.837,0.825,0,-6.301,1,0.0193,0.0,0.33,0.891,119.976,188839,4
1,2EwOnaGCrPjbmyZlt76NN4,Fire,2NE1,YG,2009-07-08,0.866,0.738,11,-3.493,0,0.00615,0.000549,0.227,0.683,126.013,222840,4
2,1ErdaM9N7EJ7trhXFnDECg,I Don't Care,2NE1,YG,2009-07-08,0.813,0.785,1,-3.881,0,0.065,0.0,0.0747,0.852,131.978,238213,4
3,0HfsCAv2Bh9bJNxjD8Sm7S,In The Club,2NE1,YG,2009-07-08,0.612,0.752,1,-4.364,1,0.0573,0.0,0.0572,0.599,163.955,224467,4
4,0tfSZHuscf970voflvUcXT,Let's Go Party,2NE1,YG,2009-07-08,0.842,0.703,1,-5.627,0,0.0891,0.00226,0.0744,0.607,120.004,228280,4
5,0HKiJczSt6YMtlNq87P0HT,Pretty Boy,2NE1,YG,2009-07-08,0.856,0.893,11,-3.621,0,0.109,0.0,0.102,0.729,119.991,205147,4
6,3dbDqyQQz5MUhcrQEJOHFP,Stay Together,2NE1,YG,2009-07-08,0.777,0.687,4,-6.701,0,0.0341,7.13e-06,0.128,0.67,125.102,224733,4
7,0duGEEnNcvRgkeoZVx6qFu,I Am the Best (내가 제일 잘 나가),2NE1,YG,2011-07-28,0.817,0.842,0,-3.727,1,0.00873,0.00294,0.0498,0.741,127.98,210733,4
8,5FahFQNnmxqiWzJbDNmeIY,Ugly,2NE1,YG,2011-07-28,0.652,0.852,8,-2.746,1,0.196,0.0,0.218,0.519,127.959,248711,4
9,5BzfRtVjyC4wbISHdbCvWL,Lonely,2NE1,YG,2011-07-28,0.588,0.568,4,-2.787,1,0.225,0.0,0.138,0.393,94.83,209987,4
10,75gfxN38PUOF2r22yTKCA5,Hate You,2NE1,YG,2011-07-28,0.703,0.85,4,-2.244,0,0.00331,0.0,0.135,0.727,125.059,213147,4
11,6dqPQmjmujiSrPrAUdIKXC,Don't Cry,2NE1,YG,2011-07-28,0.595,0.838,2,-2.918,1,0.0179,4.28e-05,0.341,0.447,130.022,192787,4
12,6gjyqBua3EQWqYT6GPJG9y,Don't Stop The Music,2NE1,YG,2011-07-28,0.764,0.88,0,-4.908,1,0.0517,0.0114,0.053,0.468,119.976,229640,4
13,7ae1SxXyeP0oe9Sukscwwf,GO AWAY,2NE1,YG,2011-11-16,0.718,0.769,11,-2.206,1,0.0397,0.0,0.0579,0.657,127.95,215893,4
14,0q4O7yEr4Qfw4OecJenQBw,IT HURTS,2NE1,YG,2011-11-16,0.652,0.64,3,-5.205,0,0.3,0.0,0.151,0.756,147.866,253840,4
15,3bUlHNpmgJJtyOrnifdPdy,SCREAM,2NE1,YG,2012-03-28,0.693,0.739,6,-3.02,0,0.00634,1.12e-05,0.26,0.552,128.042,222547,4
16,1JL0TVbkCaJM4d5n1ReWDN,I LOVE YOU,2NE1,YG,2012-07-05,0.738,0.837,0,-4.132,0,0.0274,0.0,0.216,0.49,125.01,237347,4
17,2Jj05yf4C9PWgH7xQuVNIm,Falling In Love,2NE1,YG,2013-07-08,0.66,0.626,11,-2.524,1,0.0325,0.0,0.369,0.418,176.194,226575,4
18,6edlzM2EaYIVArdeM3UCDb,Do You Love Me,2NE1,YG,2013-08-07,0.765,0.77,2,-2.599,1,0.00404,1.24e-06,0.353,0.624,129.967,215077,4
19,4qF2G0wTxKPvCOUzYzKrWq,Missing You,2NE1,YG,2013-11-21,0.625,0.45,0,-5.214,1,0.821,0.0,0.111,0.263,130.109,219302,4
20,4e2GUvAz5aWwqdZGKNoYRw,Goodbye,2NE1,YG,2017-01-21,0.644,0.488,1,-4.042,1,0.329,0.0,0.163,0.489,151.544,231445,4
21,6bdrK3DnKZWfAsvO21oj1q,Can't Nobody,2NE1,YG,2010-09-09,0.778,0.784,9,-2.522,0,0.0486,3.5e-06,0.0966,0.81,129.946,208680,4
22,1h5o1bj7HccZOYZWY5OXEE,Clap Your Hands (박수쳐),2NE1,YG,2010-09-09,0.836,0.919,1,-2.048,1,0.0751,0.0,0.191,0.872,101.927,222427,4
23,0UAn9o1GFHsI0f2gzWlS5C,I'm Busy (난 바빠),2NE1,YG,2010-09-09,0.834,0.877,2,-1.694,1,0.128,0.000224,0.0784,0.948,128.018,218227,4
24,3LcqmxG7aKGijDF5e7XvUR,Ah-Yah-Yah (사랑은 아야야),2NE1,YG,2010-09-09,0.695,0.872,6,-2.687,1,0.0186,0.0,0.0436,0.493,126.992,233947,4
25,14Pn9Vd2GKwQrVYADgCZ5l,You and I (Park Bom),2NE1,YG,2010-09-09,0.661,0.784,8,-3.729,1,0.018,0.0837,0.0844,0.689,161.838,234320,4
26,46z31nvDi94Xk9enbpe8XR,Please Don't Go (CL&Minzy),2NE1,YG,2010-09-09,0.818,0.737,8,-3.102,1,0.00729,5.39e-05,0.0911,0.845,123.0,198173,4
27,4kay2XPHGRBS1VaKIEL39K,Kiss (Dara),2NE1,YG,2010-09-09,0.867,0.872,10,-3.157,0,0.0141,0.0,0.0921,0.624,119.996,213400,4
28,7JJYhZh77nSRKmy86uIWhN,Try to Follow Me (날 따라 해봐요),2NE1,YG,2010-09-09,0.482,0.929,8,-2.708,1,0.0311,9.04e-05,0.149,0.742,179.817,189427,4
29,7svW1dxjfObNtZFQNNpFlh,LOVE IS OUCH,2NE1,YG,2012-03-28,0.71,0.847,1,-3.712,1,0.0159,0.0,0.0351,0.478,127.003,232747,4
30,36rsxJAqcs4USlhBiRQhVn,LIKE A VIRGIN,2NE1,YG,2012-03-28,0.636,0.967,1,-3.146,1,0.12,1.4e-05,0.0487,0.976,124.968,253680,4
31,7FLHZtNqn4PfSs6DwtWdY3,CRUSH,2NE1,YG,2014-02-27,0.711,0.91,1,-1.204,1,0.568,0.0,0.157,0.556,130.146,194236,4
32,63J1RStsmoVKXNTCHRNxii,COME BACK HOME,2NE1,YG,2014-02-27,0.572,0.84,0,-3.349,0,0.155,0.0,0.638,0.146,149.864,229627,4
33,29yVLesUDgcKvnTdipu3rw,GOTTA BE YOU,2NE1,YG,2014-02-27,0.619,0.901,8,-2.22,0,0.15,0.0,0.214,0.612,130.167,231519,4
34,3w0IoJb39EAAVY8ELVr8Vl,IF I WERE YOU,2NE1,YG,2014-02-27,0.558,0.657,5,-3.509,0,0.195,0.0,0.0531,0.624,181.94,210258,3
35,4whO7cYDxc9neQYHvhRx06,GOOD TO YOU,2NE1,YG,2014-02-27,0.61,0.662,11,-5.257,0,0.766,0.0,0.406,0.438,157.953,220684,4
36,616ZM39dWv2G4l1G6qP09Q,멘붕 - CL SOLO,2NE1,YG,2014-02-27,0.756,0.792,2,-4.015,1,0.0166,0.0077,0.108,0.207,99.995,195748,4
37,5UteR9bUlDg8I70brft1Vh,HAPPY,2NE1,YG,2014-02-27,0.765,0.806,6,-2.263,1,0.387,0.0,0.106,0.68,120.01,216750,4
38,0FI033zyupbuwUIZSXvfq8,BABY I MISS YOU,2NE1,YG,2014-02-27,0.789,0.616,8,-4.796,1,0.165,0.0,0.209,0.249,102.0,192084,4
39,11F35JnHM8PhNqXloxWFKT,THE BADDEST FEMALE,CL,YG,2013-05-28,0.725,0.84,9,-4.861,1,0.00456,0.0,0.337,0.674,140.055,223034,4
40,72ysGFB4mZTgQsPqN9PzPS,Hello Bitches,CL,YG,2015-12-05,0.714,0.884,11,-2.932,1,0.00985,0.0,0.439,0.584,145.075,178177,4
41,0eqvTUsVkEJsD2sz6zFieN,LIFTED,CL,YG,2016-08-19,0.369,0.698,0,-4.155,1,0.0015,0.0,0.217,0.286,181.353,175402,4
42,5WrmurzLklDfXdFAKjwwdF,DON'T CRY,Park Bom,YG,2011-04-21,0.595,0.838,2,-2.918,1,0.0179,4.28e-05,0.341,0.447,130.022,192787,4
