,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,1oXPJ9hS9fjFiQyQSOChu8,Grrr 총량의 법칙,Stray Kids,JYP,2018-01-08,0.675,0.963,1,-1.884,1,0.171,0.0426,0.0,0.398,0.455,97.966,189938
1,53qnaL5GjmtOPOQZRsxWKd,어린 날개,Stray Kids,JYP,2018-01-08,0.666,0.938,11,-2.553,0,0.11,0.172,0.0,0.319,0.615,139.96,200409
2,7H6AnhZQDrzm8JPKcvD1KC,GLOW,Stray Kids,JYP,2018-01-08,0.69,0.722,7,-4.905,1,0.0831,0.398,0.0,0.327,0.604,90.022,204345
3,0k165ayrLWHRW4TYjsArx7,School Life,Stray Kids,JYP,2018-01-08,0.662,0.957,0,-1.602,1,0.0544,0.000527,1.11e-06,0.234,0.476,130.01,216377
4,3jMozM7QoJvISBip9smWYu,4419,Stray Kids,JYP,2018-01-08,0.567,0.83,6,-2.933,1,0.0566,0.391,0.0,0.07,0.659,85.951,193087
5,72Yh4fn3T5juTqCqSrcKWM,NOT!,Stray Kids,JYP,2018-03-26,0.572,0.859,4,-6.511,0,0.333,0.0203,0.000382,0.236,0.403,170.248,82437
6,2pXsVqASVWQgXVrtY4Bp0v,WHO?,Stray Kids,JYP,2018-08-06,0.337,0.846,5,-4.003,1,0.0682,0.0408,4.49e-06,0.236,0.364,84.71,104996
7,4j4ljkDStTGXYS4cA9zrEZ,불면증 Insomnia,Stray Kids,JYP,2018-08-06,0.651,0.748,11,-3.764,0,0.343,0.157,0.0,0.102,0.767,167.964,206430
8,6XUkHANd4nqJ2n36NIGSfV,YOU.,Stray Kids,JYP,2018-10-22,0.504,0.966,9,-5.349,0,0.221,0.014,0.000534,0.354,0.241,169.986,78834
9,0JA999rRR2pGjuCnH3iboz,편 My Side,Stray Kids,JYP,2018-10-22,0.567,0.91,0,-4.485,1,0.09,0.00388,0.0,0.183,0.347,165.991,216788
10,5P4LVqVhX63AsGoF1v6dAH,해장국 Hero's Soup,Stray Kids,JYP,2018-10-22,0.598,0.559,4,-7.534,0,0.0616,0.301,0.0,0.263,0.0922,171.851,212482
11,2H2a3l3nNrwCRngGylrVwN,Entrance,Stray Kids,JYP,2019-03-25,0.664,0.792,1,-6.046,1,0.0375,0.0291,0.204,0.118,0.602,106.002,98760
12,28eDLOPRRQUipJ7t4b06Nz,Road Not Taken,Stray Kids,JYP,2019-06-19,0.718,0.913,4,-4.195,0,0.129,0.272,0.00112,0.116,0.322,128.088,95762
13,5L2p3U6GL2M2ojfZouGIIA,Mixtape#1,Stray Kids,JYP,2019-06-19,0.796,0.759,3,-3.613,1,0.081,0.0338,0.0,0.0805,0.498,99.992,252934
14,6Gmy7RKh5jkBNzrNx0q8o2,Mixtape#2,Stray Kids,JYP,2019-06-19,0.602,0.504,3,-5.56,1,0.0707,0.525,0.0,0.219,0.484,173.958,291845
15,7f6LzwjohLRDhkf7oqwUka,Mixtape#3,Stray Kids,JYP,2019-06-19,0.762,0.644,1,-7.349,1,0.0426,0.236,0.0,0.237,0.587,114.051,257854
16,2oB05HvHUVNPQI1tTiPoU4,Mixtape#4,Stray Kids,JYP,2019-06-19,0.682,0.919,7,-3.168,0,0.188,0.0512,0.0,0.228,0.529,98.067,231463
17,5rqvgt4X1q8M6PYDQm7PCg,STOP,Stray Kids,JYP,2019-12-09,0.769,0.862,4,-6.213,0,0.121,0.158,0.000569,0.193,0.196,128.025,189513
18,0d0dnERp81YYz95fuakZb5,Booster,Stray Kids,JYP,2019-12-09,0.657,0.877,1,-4.929,1,0.0923,0.0724,0.0,0.349,0.812,150.05,220649
19,2wpiWR4tTz4ewnYV1v4KQC,Sunshine,Stray Kids,JYP,2019-12-09,0.725,0.655,0,-5.766,0,0.0656,0.0849,0.0,0.161,0.493,143.019,222284
20,5VoUJEP8CmWmHrsmcAaNSh,You Can STAY,Stray Kids,JYP,2019-12-09,0.73,0.757,8,-7.042,1,0.0542,0.0153,0.0,0.111,0.356,94.986,208444
21,0KHCa8hM5Jff6Ji0JxQYMb,끝나지 않을 이야기,Stray Kids,JYP,2019-11-07,0.447,0.57,5,-6.196,1,0.0839,0.138,0.0,0.107,0.37,79.801,244867
22,4pbn3QsIKWv6BawpO14Kzq,BEWARE,Stray Kids,JYP,2020-03-17,0.678,0.951,1,-2.649,1,0.213,0.0414,0.0,0.378,0.404,98.028,190653
23,3aYsXEPnbdHwIByyJIF4b8,Spread My Wings,Stray Kids,JYP,2020-03-17,0.68,0.945,11,-3.472,0,0.191,0.15,0.0,0.238,0.67,139.887,202120
24,3TdDuTNDALwxyPSy8mqVWY,YAYAYA,Stray Kids,JYP,2020-03-17,0.674,0.938,9,-1.687,0,0.223,0.108,0.0,0.0969,0.696,132.041,202667
25,58XXaW1pFAiXZRouc7ulaJ,District 9,Stray Kids,JYP,2020-03-17,0.646,0.954,9,-1.899,1,0.18,0.017,5.92e-06,0.122,0.512,90.017,213587
26,1MYmqPMb3nYRtqo5l3mosX,Boxer,Stray Kids,JYP,2020-03-17,0.642,0.902,2,-3.471,1,0.131,0.00716,0.0,0.185,0.46,104.897,202293
