,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,7HrCnwDvbtCKSZtpNDmII9,Miracles in December,EXO,SM,2013-12-09,0.587,0.314,8,-7.62,1,0.0313,0.677,0.0,0.137,0.211,119.797,273288
1,1,5KkqyiAZr8QT6zscgM2pJf,Christmas Day,EXO,SM,2013-12-09,0.715,0.483,8,-5.857,1,0.0466,0.379,0.0,0.151,0.498,107.95,226467
2,2,7rwyiqrXd9U4Oly5StBrrn,The Star,EXO,SM,2013-12-09,0.73,0.906,4,-2.427,0,0.0689,0.038,0.0,0.419,0.46,100.014,247531
3,3,1Nm10NmlVLhzldj1ALxlWV,My Turn to Cry,EXO,SM,2013-12-09,0.551,0.645,0,-7.797,1,0.0421,0.204,2.67e-06,0.255,0.282,95.953,247059
4,4,2VNpT9fRk1kyksT0S4coZR,The First Snow,EXO,SM,2013-12-09,0.636,0.674,7,-6.623,0,0.0444,0.00542,0.0,0.145,0.814,82.985,207668
5,5,1EvB6tE5CHluLZaWm3r0bT,MAMA,EXO-K,SM,2012-04-09,0.629,0.963,0,-3.889,1,0.112,0.00515,0.0,0.262,0.528,90.015,270453
6,6,1VWSUWcVZEAPGBYVkevN3u,What Is Love,EXO-K,SM,2012-04-09,0.728,0.714,8,-3.667,1,0.0355,0.565,0.0,0.0544,0.785,131.919,261224
7,7,3AmxvnqctdvnJnyNPaHTbv,History,EXO-K,SM,2012-04-09,0.753,0.808,1,-3.264,1,0.0812,0.000252,0.000194,0.0371,0.603,110.856,209801
8,8,0vZtHRT1Ez9xmmxGRCNF8h,Angel,EXO-K,SM,2012-04-09,0.55,0.805,11,-5.127,0,0.0625,0.115,0.0,0.656,0.619,83.939,180175
9,9,5S5MZMXJBh9DrVeiyIT8Zr,Two Moons,EXO-K,SM,2012-04-09,0.834,0.716,8,-4.715,1,0.137,0.0147,6.55e-06,0.103,0.486,146.025,177000
10,10,4w65wiJvFz8ea3bbeFl7kI,Machine,EXO-K,SM,2012-04-09,0.714,0.948,6,-2.944,0,0.21,0.135,0.0,0.35,0.663,105.009,204182
11,11,5NSPsOGVNWYOMeeyZPF7HY,Overdose,EXO-K,SM,2014-08-06,0.498,0.917,5,-1.797,0,0.164,0.0615,0.0,0.358,0.652,112.357,205612
12,12,18Ptr7mwqViAKSrUZ0WyHm,Moonlight,EXO-K,SM,2014-08-06,0.669,0.747,11,-5.477,1,0.0312,0.166,0.0,0.168,0.492,122.001,265254
13,13,23dl021k6ZO3afFgS6TLr7,Thunder,EXO-K,SM,2014-08-06,0.722,0.771,11,-3.069,0,0.0915,0.337,0.0,0.282,0.773,97.98,191488
14,14,3abcr9RBiQk9bv8Z6ekm0J,Run,EXO-K,SM,2014-08-06,0.693,0.97,8,-3.421,1,0.0617,0.215,0.0,0.311,0.378,130.004,216197
15,15,7bDoM9W8OIuo0vDee6ofVY,"Love, Love, Love",EXO-K,SM,2014-08-06,0.647,0.879,6,-4.122,0,0.106,0.404,0.0,0.357,0.538,130.036,233531
16,16,4pi0Elz7B7cLfw37J3bYm9,Growl,EXO,SM,2013-08-05,0.681,0.814,11,-2.83,0,0.0603,0.145,0.0,0.556,0.876,89.993,207053
17,17,7n0D1iLva5zp4JcnlIMeVa,Wolf,EXO,SM,2013-08-05,0.643,0.912,7,-3.005,1,0.139,0.0986,0.0,0.196,0.456,140.014,230600
18,18,3Fm1KdUH8FmJOdtFi8MBvx,XOXO,EXO,SM,2013-08-05,0.707,0.689,1,-5.428,1,0.0421,0.00678,0.0,0.441,0.563,93.951,186018
19,19,546Y4NAdcGBeOpMWOvuJdw,Lucky,EXO,SM,2013-08-05,0.629,0.957,2,-3.008,1,0.0346,0.0168,0.0,0.284,0.282,127.982,203711
20,20,7M4eO9xXwmAnO0hq6XDles,"Baby, Don't Cry",EXO,SM,2013-08-05,0.653,0.827,5,-4.179,1,0.0417,0.344,0.0,0.144,0.421,137.946,233956
21,21,4rv6M1GFz98BRt6FBjKK6v,Black Pearl,EXO,SM,2013-08-05,0.556,0.829,5,-4.496,0,0.0426,0.00111,3.24e-05,0.102,0.5,137.042,186743
22,22,1Acgi7wxVD9OF3iQnFe8Q4,Don't Go,EXO,SM,2013-08-05,0.575,0.9,1,-3.723,1,0.0711,0.277,0.0,0.171,0.716,156.02,214380
23,23,7JZsqv8ooSRwgc4DGroZXS,Let Out the Beast,EXO,SM,2013-08-05,0.768,0.867,1,-4.122,0,0.0533,0.101,0.000406,0.0884,0.885,121.993,205880
24,24,3E29VjkpQlzslDyCqYewDm,3.6.5,EXO,SM,2013-08-05,0.74,0.83,8,-3.051,1,0.0434,0.0678,0.0,0.0534,0.93,131.042,185091
25,25,3nEM52dSdKzlWSo2ED7ztS,Heart Attack,EXO,SM,2013-08-05,0.668,0.641,10,-5.077,1,0.0339,0.0891,0.0,0.0659,0.541,80.979,217989
26,26,0FF1qj8n4vZEzY54Kt5qh1,Peter Pan,EXO,SM,2013-08-05,0.68,0.878,3,-2.74,1,0.0384,0.0937,0.0,0.109,0.703,116.959,234856
27,27,3pnvvqhkOYq0kTgLaT4BCA,Baby,EXO,SM,2013-08-05,0.713,0.864,10,-3.321,1,0.043,0.077,0.0,0.0905,0.759,137.956,238011
28,28,1WAtCRhWvN7iR8rKyWEE3y,My Lady,EXO,SM,2013-08-05,0.683,0.732,9,-3.677,0,0.0368,0.123,0.0,0.358,0.486,128.921,211599
29,29,6Rx0ORYPP3GH9rTvGS5Vy8,CALL ME BABY,EXO,SM,2015-03-30,0.692,0.886,1,-2.519,1,0.0519,0.284,0.0,0.341,0.879,100.03,211013
30,30,6sNS44CjhSuQlgVltuRcEt,TRANSFORMER,EXO,SM,2015-03-30,0.727,0.946,1,-3.832,1,0.214,0.119,0.0,0.0749,0.865,87.944,227519
31,31,4XLd7gMhD6Jo2tuHxNaIlq,What If..,EXO,SM,2015-03-30,0.638,0.452,3,-5.576,0,0.0325,0.219,5.41e-06,0.0776,0.492,118.01,258955
32,32,6h5BRbxxRnEbbwUsM2vzhO,MY ANSWER,EXO,SM,2015-03-30,0.578,0.271,9,-8.48,1,0.0327,0.881,0.0,0.107,0.367,125.803,213133
33,33,36eT1ELsn8BqIxkuzTCgDF,EXODUS,EXO,SM,2015-03-30,0.695,0.82,5,-4.538,0,0.0678,0.0408,0.0,0.146,0.824,99.994,199980
34,34,5il5nd4tIALwu7G1DBjdOq,EL DORADO,EXO,SM,2015-03-30,0.592,0.88,2,-3.094,0,0.0724,0.116,0.0,0.251,0.579,154.97,239597
35,35,06KYwRJKN3IKOKzaWuP3ea,PLAYBOY,EXO,SM,2015-03-30,0.529,0.722,1,-4.815,0,0.0814,0.213,0.0,0.102,0.666,79.951,212132
36,36,49duO7BaTYEj8Gdz9mJjxI,HURT,EXO,SM,2015-03-30,0.693,0.809,9,-3.968,0,0.0443,0.0174,0.0,0.153,0.482,120.053,219483
37,37,5DbtKcO2DnUEqvMzxxnpBE,Lady Luck,EXO,SM,2015-03-30,0.661,0.932,5,-3.855,1,0.0874,0.0452,0.0,0.0549,0.83,153.992,213266
38,38,23ZOetlqB0jACaFRStNmyO,BEAUTIFUL,EXO,SM,2015-03-30,0.713,0.72,10,-4.499,0,0.028,0.0176,0.0,0.338,0.326,111.03,243055
39,39,1kFevEv3s7Gf6o5xSDR5DL,LOVE ME RIGHT,EXO,SM,2015-06-03,0.625,0.83,0,-2.33,1,0.0764,0.00266,0.0,0.188,0.757,110.04,205129
40,40,28Hhr7nabTvPBfmiUVEmcR,TENDER LOVE,EXO,SM,2015-06-03,0.744,0.856,5,-1.98,0,0.0482,0.0334,0.0,0.196,0.868,117.987,216437
41,41,0SSQfkqMG4VMmWgU47u5pu,FIRST LOVE,EXO,SM,2015-06-03,0.752,0.716,9,-4.703,1,0.0421,0.395,0.0,0.0487,0.753,120.002,242337
42,42,6Biy3fnBc3eWVbcC7VhlIt,Drop That,EXO,SM,2015-11-04,0.667,0.95,11,-3.355,0,0.204,0.00859,0.0,0.317,0.605,102.011,215027
43,43,0WgIKcomgCpfSvTHRT43aW,LIGHTSABER,EXO,SM,2015-11-11,0.649,0.832,5,-4.552,0,0.086,0.13,0.0,0.414,0.58,139.986,184935
44,44,78bSWIqoNPdJB8QpCVkv0K,Unfair,EXO,SM,2015-12-10,0.668,0.877,5,-3.24,0,0.0364,0.0879,0.0,0.154,0.781,97.984,182322
45,45,7htOPFqaCfI6j5ssnz2cla,Sing For You,EXO,SM,2015-12-10,0.341,0.288,8,-7.544,1,0.0335,0.852,0.0,0.363,0.443,170.202,235036
46,46,1mMI14irOrynB5yvQY1Taz,Girl x Friend,EXO,SM,2015-12-10,0.493,0.846,0,-4.829,1,0.198,0.103,0.0,0.215,0.433,94.278,221672
47,47,61limJA2zOeHiYkKJHOFtB,발자국 On the snow,EXO,SM,2015-12-10,0.539,0.698,3,-5.121,1,0.0522,0.201,0.0,0.0428,0.464,170.095,203328
48,48,31PzY79H10HCgJs533Xq6B,For Life,EXO,SM,2016-12-19,0.517,0.353,3,-6.522,1,0.0268,0.887,6.35e-06,0.0997,0.265,91.736,238660
49,49,24XLVxCLOhNEsjGBUrECsc,Falling For You,EXO,SM,2016-12-19,0.698,0.867,6,-3.527,0,0.0524,0.24,0.0,0.0999,0.883,99.501,204055
50,50,6LYw9XyG9AQSQF178FKjIO,What I Want For Christmas,EXO,SM,2016-12-19,0.327,0.527,4,-4.485,0,0.0522,0.417,0.0,0.362,0.142,189.052,202058
51,51,3MAW23lyl0zeIcA3DK9YAY,Twenty Four,EXO,SM,2016-12-19,0.779,0.811,6,-4.408,0,0.0676,0.213,0.0,0.0901,0.306,124.959,220020
52,52,6scVKMrtlTKGTGVdgyftaa,Winter Heat,EXO,SM,2016-12-19,0.753,0.851,5,-3.693,0,0.0497,0.191,0.0,0.136,0.516,121.971,215811
53,53,6F07dfBaUEcylJdL3gky7y,Lucky One,EXO,SM,2016-06-09,0.731,0.787,1,-3.95,1,0.055,0.169,0.0,0.0892,0.799,120.951,227486
54,54,7GbUWl6qLW1gdngbEV2WDJ,Monster,EXO,SM,2016-06-09,0.618,0.76,6,-4.312,1,0.0596,0.0066,0.0,0.127,0.541,150.0,221341
55,55,7JsdxIrUXhCJUCaX2ZhSNl,Artificial Love,EXO,SM,2016-06-09,0.639,0.786,6,-3.767,1,0.287,0.00936,0.0,0.0694,0.772,114.181,245773
56,56,4TreoczV2m4vdhBth164wG,Cloud 9,EXO,SM,2016-06-09,0.801,0.726,7,-5.289,1,0.0751,0.15,0.0,0.325,0.534,103.017,241396
57,57,64wBH2x7lTYxhwUzoS5gvt,Heaven,EXO,SM,2016-06-09,0.696,0.844,5,-4.212,0,0.181,0.0348,0.0,0.0882,0.761,91.982,225823
58,58,28tQ2OPkGddGmlk3z1gBzq,White Noise,EXO,SM,2016-06-09,0.375,0.845,2,-4.171,1,0.26,0.0792,0.0,0.166,0.75,209.456,212084
59,59,79oJOB7JcIxdP2wlV959wB,One and Only,EXO,SM,2016-06-09,0.531,0.708,8,-5.072,0,0.0335,0.062,0.0,0.0925,0.451,77.016,229056
60,60,3McXg4JBxvClUddeWszOsy,They Never Know,EXO,SM,2016-06-09,0.611,0.796,10,-4.14,0,0.0758,0.174,0.0,0.314,0.485,129.896,213788
61,61,326Di9nEnC8tzxxtBsjOUv,Stronger,EXO,SM,2016-06-09,0.469,0.315,8,-7.412,1,0.0349,0.81,0.0,0.114,0.358,102.157,219977
62,62,6ukWoX4AHV76JdYVdKRPk8,Lotto,EXO,SM,2016-08-18,0.798,0.867,11,-3.207,0,0.0386,0.0618,0.0,0.193,0.702,99.996,189775
63,63,2HTV9fE1pXpAI3hjohFYM6,Can’t Bring Me Down,EXO,SM,2016-08-18,0.597,0.938,10,-3.647,0,0.108,0.191,0.0,0.257,0.743,87.003,180015
64,64,7lX7xZA7IJ10ga8mqZnf0j,She’s Dreaming,EXO,SM,2016-08-18,0.59,0.639,11,-4.548,0,0.0427,0.0816,0.0,0.0788,0.462,72.496,242367
65,65,53YZi9zgTnF0Py0K6ejyWz,Power,EXO,SM,2017-09-05,0.657,0.943,7,-3.031,1,0.0856,0.0315,0.0,0.149,0.76,127.958,222406
66,66,4KMkvQ4pukipifwyjc8fAH,Sweet Lies,EXO,SM,2017-09-05,0.59,0.592,1,-7.146,1,0.0758,0.0456,0.0,0.104,0.211,102.857,216200
67,67,2PJtID9J7J2IU5XYUiadNh,Boomerang,EXO,SM,2017-09-05,0.8,0.776,0,-3.009,1,0.0334,0.202,0.0,0.0929,0.791,110.026,180386
68,68,2ujA6F1cpk3m8lsPE5aKua,The Eve,EXO,SM,2017-07-18,0.636,0.702,0,-5.352,0,0.0334,0.0223,0.0,0.293,0.516,135.104,176026
69,69,5EzitieoPnjyKHAq0gfRMa,Ko Ko Bop,EXO,SM,2017-07-18,0.749,0.85,0,-4.346,1,0.0468,0.0319,4.81e-05,0.0678,0.672,145.983,190423
70,70,5NB0u5gWcwH1D6y3euVSKI,What U do?,EXO,SM,2017-07-18,0.526,0.828,6,-3.82,1,0.143,0.00773,0.0,0.296,0.663,110.182,221349
71,71,3HbODbLPYqeHcRXApoWJDy,Forever,EXO,SM,2017-07-18,0.609,0.825,8,-3.311,1,0.0748,0.0588,0.0,0.35,0.333,144.868,230726
72,72,23WPXHPulg0iDXSO4aFFh1,Diamond,EXO,SM,2017-07-18,0.734,0.76,0,-4.451,0,0.0852,0.0113,0.0,0.408,0.367,132.074,211196
73,73,1SKltjAmqarrBgHW5HrcKW,Touch It,EXO,SM,2017-07-18,0.703,0.917,5,-3.269,0,0.115,0.159,0.0,0.0802,0.874,109.985,209896
74,74,0NYI7lXYvyEhpjP0yWAjRg,Chill,EXO,SM,2017-07-18,0.743,0.793,1,-4.944,1,0.0692,0.23,0.0,0.108,0.809,120.004,187756
75,75,6lRGSp6vkzCvrHSwqO9Tx6,Walk On Memories,EXO,SM,2017-07-18,0.73,0.555,7,-7.113,0,0.0299,0.346,0.0,0.0786,0.447,113.968,232234
76,76,64EJgeHPkqJThnr7RDppo3,Going Crazy,EXO,SM,2017-07-18,0.591,0.782,7,-5.45,0,0.0389,0.128,0.0,0.114,0.709,150.09,226062
