,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,2oRZSlZI47ZLDF7sErD3cu,Moon U,GOT7,JYP,2017-10-10,0.684,0.744,10,-3.934,0,0.0491,0.401,0.0,0.0825,0.48,140.03,201953
1,7fiiia7w18MLmPBcjmxeFJ,Teenager,GOT7,JYP,2017-10-10,0.613,0.899,10,-2.632,0,0.0825,0.0708,0.0,0.128,0.702,124.09,189378
2,0onCsNOWfUMt1ERQ0TI9Zt,You Are,GOT7,JYP,2017-10-10,0.529,0.893,5,-3.082,0,0.0766,0.199,0.0,0.562,0.648,99.515,200664
3,5SPWQWNwH7aF6gWWL9pHIO,Firework,GOT7,JYP,2017-10-10,0.477,0.662,0,-5.876,1,0.0817,0.0127,0.0,0.198,0.28,179.233,219649
4,5gHCfNARTuBuy6oN32mnKk,Remember You,GOT7,JYP,2017-10-10,0.803,0.644,11,-5.453,1,0.049,0.0983,0.0,0.153,0.249,94.997,247438
5,1GO6OXkWgJiHp4NZgaX2l7,To Me,GOT7,JYP,2017-10-10,0.853,0.806,5,-5.112,0,0.173,0.369,0.0,0.173,0.586,109.973,197658
6,5Z9I7qD6pPsAyWMBZTnjAw,Face,GOT7,JYP,2017-10-10,0.634,0.798,5,-2.435,1,0.0478,0.0515,0.0,0.18,0.178,92.023,208788
7,5o5A8FNgsXuF25vTGDhz6Y,TURN UP,GOT7,JYP,2017-11-05,0.751,0.873,7,-3.02,1,0.0718,0.00728,0.0,0.317,0.628,107.974,201173
8,3kLHlThjyoAv9zOnSjlZPC,DESSERT,GOT7,JYP,2017-11-05,0.58,0.977,2,-1.919,1,0.162,0.148,0.0,0.306,0.566,172.946,206507
9,4OLJ7fIxL67ZdF1ld660YQ,LION BOY,GOT7,JYP,2017-11-05,0.756,0.947,2,-2.188,1,0.0509,0.0974,0.0,0.335,0.458,103.994,191947
10,4RmIbtFGq6IW7fMbl13Dg9,FLASH UP,GOT7,JYP,2017-11-05,0.612,0.776,3,-3.857,1,0.0326,0.0222,0.0,0.16,0.347,89.979,292120
11,5mbg2RboaFvO1ppPPLsq8N,WHY,GOT7,JYP,2017-11-05,0.677,0.782,8,-5.305,0,0.064,0.172,0.0,0.114,0.337,125.022,227533
12,4SznOf3GSuBObvaLmYZDw2,この胸に,GOT7,JYP,2017-11-05,0.611,0.542,0,-5.671,1,0.0265,0.0713,6.22e-06,0.249,0.324,137.943,231053
13,2xmVD1aVbElj9nGecAcsIR,97 YOUNG & RICH,GOT7,JYP,2017-11-05,0.831,0.718,7,-5.59,1,0.0726,0.00276,0.000105,0.092,0.595,100.007,176507
14,261LXApprrMeuczNAGqjav,One And Only You,GOT7,JYP,2018-03-12,0.594,0.846,7,-2.539,0,0.308,0.146,0.0,0.0215,0.783,169.931,200541
15,1ZFQugO7BqYJjw8FVQHcze,Look,GOT7,JYP,2018-03-12,0.643,0.913,5,-1.724,0,0.157,0.113,0.0,0.383,0.734,119.938,194535
16,28P5svccNmBbTN0NEKn3Ms,The Reason,GOT7,JYP,2018-03-12,0.672,0.689,0,-4.7,1,0.0419,0.034,0.0,0.0923,0.264,109.947,219713
17,0u2UaymLopF43ifNyHCnsY,Hesitate,GOT7,JYP,2018-03-12,0.781,0.681,11,-4.329,1,0.0658,0.36,0.0,0.206,0.545,105.079,185179
18,6H99SZezHoiDxpdVTBaiFt,Us,GOT7,JYP,2018-03-12,0.803,0.694,4,-4.182,0,0.124,0.145,1.56e-06,0.237,0.397,94.012,196164
19,4zqhiObNLChqnBSEzR9Jla,Thank You,GOT7,JYP,2018-03-12,0.504,0.62,7,-4.948,1,0.0462,0.0393,4.36e-06,0.109,0.333,86.492,226483
20,6gJJ3geKv7UkSxOD2JmTQC,THE New Era,GOT7,JYP,2018-06-20,0.736,0.857,5,-1.812,1,0.094,0.031,0.0,0.231,0.466,102.553,219680
