,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,2gyCwrOcC6JBoaJ8JGJ7T8,To. X,TAEYEON,SM,2023-11-27,0.835,0.587,8,-5.814,1,0.08,0.396,4.09e-06,0.0862,0.646,97.03,170387
1,2cZtazNq0IRRFymK7UaRa0,Melt Away,TAEYEON,SM,2023-11-27,0.694,0.698,9,-3.677,0,0.0353,0.453,0.0,0.144,0.484,138.821,196000
2,1y8tPIOh9kR3eQE6TeBCwe,Burn It Down,TAEYEON,SM,2023-11-27,0.71,0.495,3,-5.398,0,0.0623,0.364,2.55e-06,0.0817,0.678,93.877,170853
3,3dmZOzXDFXEZXdjPqJJPKt,Nightmare,TAEYEON,SM,2023-11-27,0.741,0.534,10,-9.503,0,0.429,0.483,0.000488,0.117,0.921,161.861,175707
4,6kniGjw06j9O7GFgEFwu8v,All For Nothing,TAEYEON,SM,2023-11-27,0.435,0.287,7,-9.388,0,0.041,0.873,0.0,0.223,0.228,144.714,190693
5,4vPyZrbv6WnOx4P91rbatz,Fabulous,TAEYEON,SM,2023-11-27,0.617,0.724,6,-4.119,0,0.0309,0.0277,0.000209,0.701,0.458,100.023,171907
6,6sa8gVh0m5qFMeqk9liyXD,Picture,HYO,SM,2023-08-22,0.689,0.747,10,-4.274,0,0.049,0.0168,0.000189,0.107,0.477,105.037,198484
7,1oen3GpTcA486fTHaT7neg,FOREVER 1,Girls' Generation,SM,2022-08-05,0.615,0.871,9,-1.248,1,0.0516,0.0427,0.0,0.254,0.297,123.915,202533
8,1dHHWJNYz8SfuDnaV11e67,Lucky Like That,Girls' Generation,SM,2022-08-05,0.627,0.884,9,-3.129,1,0.05,0.121,0.0,0.682,0.529,99.993,171840
9,1gLSIkfJc5TG1Nle8X4ImG,Seventeen,Girls' Generation,SM,2022-08-05,0.679,0.841,1,-3.164,0,0.0368,0.343,0.0,0.27,0.702,93.048,188453
10,3FuL8QGYM7NWj9YWFCEc5W,Villain,Girls' Generation,SM,2022-08-05,0.54,0.857,11,-2.989,0,0.156,0.127,1.19e-05,0.0589,0.296,179.957,182187
11,7AKKUOFQjjhFyjzvhtawsM,You Better Run,Girls' Generation,SM,2022-08-05,0.436,0.832,10,-3.243,0,0.326,0.041,5.8e-05,0.803,0.651,167.024,165160
12,7JWXQE9QBQ8BAPFKAwnUWP,Closer,Girls' Generation,SM,2022-08-05,0.716,0.789,1,-2.896,0,0.0367,0.0509,0.0,0.123,0.509,115.005,238053
13,3oPnpmmhtm608mSEXl1Aea,Mood Lamp,Girls' Generation,SM,2022-08-05,0.308,0.766,6,-4.047,0,0.224,0.47,0.0,0.391,0.429,167.179,228947
14,7aGQ5amwc1HVB7AxGBDHBu,Summer Night,Girls' Generation,SM,2022-08-05,0.83,0.619,4,-3.915,1,0.0476,0.483,0.0,0.0794,0.843,97.0,193573
15,4ncRdOnJVY9uSFC74jFJOa,Freedom,Girls' Generation,SM,2022-08-05,0.504,0.84,2,-2.823,1,0.388,0.215,0.0,0.127,0.528,203.833,182107
