,Unnamed: 0,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,0,5xhKFZxWUFPutJw8Xkq6k1,Intro - Bigbang,BIGBANG,YG,2006-12-22,0.765,0.621,4,-5.249,1,0.355,0.0387,0.0,0.11,0.581,102.108,25613
1,1,3ZsfUGSRLBjY6LgRvdzQAv,She Can't Get Enough,BIGBANG,YG,2006-12-22,0.823,0.801,11,-3.573,0,0.18,0.0103,0.0,0.101,0.59,103.016,209520
2,2,6XwxW14pYZ7I3D1gkeXTsf,Shake It,BIGBANG,YG,2006-12-22,0.734,0.905,7,-4.605,1,0.0578,0.0504,0.0,0.14,0.871,114.97,225520
3,3,62laTbC1RWyE3IhsNEbvE9,La La La,BIGBANG,YG,2006-12-22,0.776,0.765,1,-4.721,0,0.0404,0.0242,0.0,0.0546,0.862,101.997,179587
4,4,2ODw60NRN4agCHqTgaCtOw,Laugh It Off (DaeSung Solo),BIGBANG,YG,2006-12-22,0.656,0.533,5,-6.493,1,0.0352,0.246,0.0,0.121,0.339,131.94,252160
5,5,1JKlLrjbcBgCuMnfoQfQpb,V.I.P,BIGBANG,YG,2006-09-28,0.835,0.735,10,-6.17,0,0.24,0.0298,0.0,0.121,0.733,100.979,183933
6,6,3U4Qb76a4uPNGwk6eRvdr8,This Love,BIGBANG,YG,2006-08-29,0.74,0.736,10,-6.611,0,0.182,0.021,0.0,0.0726,0.71,95.064,210280
7,7,0O8Ao0XDsXqwDl1Zl0FdgY,A Fool Of Tears,BIGBANG,YG,2006-08-29,0.706,0.629,0,-6.333,1,0.0385,0.0455,0.0,0.126,0.584,124.036,242747
8,8,7mm0wCVAg6iigOXWEfd4P3,We belong together,BIGBANG,YG,2006-08-29,0.773,0.772,2,-5.316,0,0.0419,0.156,0.0,0.0376,0.716,139.99,238293
9,9,1z0FM4koxyQC0jJ9Gslz0O,Intro (Put your hands up),BIGBANG,YG,2006-08-29,0.721,0.782,2,-5.841,1,0.0733,0.0735,7.54e-05,0.102,0.877,92.017,81493
10,10,3BH7dgnovhpgTH0p8IrTog,Victory (Intro),BIGBANG,YG,2006-11-22,0.81,0.699,0,-4.565,1,0.061,0.0287,0.0,0.0864,0.485,90.027,112118
11,11,5Bj2xa3irK5eVQVRtn8WrM,Bigbang,BIGBANG,YG,2006-11-22,0.904,0.614,11,-4.866,1,0.104,0.0301,0.0,0.249,0.847,101.981,205401
12,12,7czVcA9IUsAy61QdQaX2Tw,Forever With U (Feat. Park Bom),BIGBANG,YG,2006-11-22,0.786,0.662,9,-7.08,0,0.124,0.141,0.0,0.321,0.75,140.021,218619
13,13,6KDTPqz8GMqD1JxtxIU9bM,Intro - Hot Issue,BIGBANG,YG,2007-11-22,0.902,0.689,1,-6.028,1,0.203,0.0263,9.17e-06,0.0826,0.775,114.952,82747
14,14,0K1bxe733BFc74jk4g59ED,Fool,BIGBANG,YG,2007-11-22,0.668,0.779,0,-5.324,1,0.0452,0.116,0.0,0.314,0.383,124.95,225667
15,15,5DGzLXYIcoHWbYKmvLdrF2,But I Love You,G-DRAGON,YG,2007-11-22,0.784,0.794,0,-5.039,0,0.163,0.142,0.0,0.471,0.412,109.976,255013
16,16,0zs58tmSn7sHRr330bbNhy,I Don't Understand,BIGBANG,YG,2007-11-22,0.722,0.626,9,-6.682,0,0.0321,0.0657,1.28e-06,0.0794,0.844,137.976,245987
17,17,1bxmk02EmO6e6ER33ldxcn,Crazy Dog,BIGBANG,YG,2007-11-22,0.828,0.75,9,-4.209,0,0.049,0.0662,4.94e-05,0.0826,0.839,122.994,219720
18,18,7KDHGgYt5fF2Lh9FxMbVML,Last Farewell,BIGBANG,YG,2007-11-22,0.703,0.934,6,-2.92,0,0.167,0.0462,0.0,0.116,0.821,135.02,231800
19,19,09evj5XqnVuZg7RX5CFhD4,Intro - We Are BIGBANG,BIGBANG,YG,2007-08-16,0.787,0.684,5,-4.217,0,0.0856,0.0544,0.0,0.0983,0.919,97.035,96853
20,20,54SpjxPioot7g7hVfbrXHh,Lies,BIGBANG,YG,2007-08-16,0.781,0.849,6,-5.644,1,0.0568,0.159,0.0,0.93,0.665,124.986,229120
21,21,6b6wrV3LTXnblffTLHpRSx,Unknown Number,BIGBANG,YG,2007-08-16,0.834,0.947,7,-5.785,1,0.0412,0.0263,0.0,0.0976,0.692,114.986,217600
22,22,27vEqY0DyEDGXVFIb66kuL,Oh Ma Baby,BIGBANG,YG,2007-08-16,0.68,0.718,4,-6.181,0,0.0875,0.158,0.0,0.337,0.584,84.97,231480
23,23,4aIgmON0kGOFooTuiIh2KS,Always,BIGBANG,YG,2007-08-16,0.698,0.781,5,-3.8,0,0.0236,0.000176,0.0,0.0507,0.339,116.036,233320
24,24,3XkPwYjp7S8KvKEgdYWYMI,Good Bye Baby,BIGBANG,YG,2007-02-08,0.64,0.877,11,-7.331,0,0.224,0.114,0.0,0.935,0.629,99.93,320133
25,25,3UAPaWDZIi1icI0BBGYIJy,Dirty Cash (For Fan - Original Track),BIGBANG,YG,2007-02-08,0.876,0.863,11,-5.57,0,0.151,0.0476,0.0,0.158,0.963,129.942,191693
26,26,1UDfTHHD7kKWKvYj9EFYJo,Intro - Everybody Scream,BIGBANG,YG,2008-11-05,0.782,0.821,5,-3.485,0,0.0442,0.0354,0.0,0.0713,0.604,120.024,103760
27,27,64qFuih3SyIO4AYGxlsUPa,"Oh, Ah, Oh",BIGBANG,YG,2008-11-05,0.625,0.915,7,-2.486,1,0.0589,0.00949,0.0,0.122,0.611,135.88,224920
28,28,3qHBjPdFZeS0tfXywAxOKq,Sunset Glow,BIGBANG,YG,2008-11-05,0.756,0.87,8,-2.27,1,0.0543,0.0896,0.0,0.141,0.618,124.983,204920
29,29,0VQXG8zWL7rJwi1bdgZbDj,You Are My Light,BIGBANG,YG,2008-11-05,0.727,0.837,5,-4.05,0,0.0908,0.0405,0.0,0.257,0.672,110.007,218893
30,30,5NnjXRvnm2xGwBA3dnO8Mq,Wonderful,BIGBANG,YG,2008-11-05,0.702,0.906,9,-3.409,0,0.0343,0.0206,0.0,0.272,0.952,129.982,210240
31,31,3zXL187ljM6hMO5PdhmjFk,Foolish Love,BIGBANG,YG,2008-11-05,0.705,0.745,7,-4.946,0,0.0617,0.167,0.0,0.244,0.648,144.978,241187
32,32,2dSUbidMWyOS4NrfPy32FI,Remember,BIGBANG,YG,2008-11-05,0.645,0.804,0,-3.785,0,0.045,0.0507,0.0,0.309,0.706,155.938,200253
33,33,4bfKZmzdoP3mJdAYZ8tqw7,Intro - Stand Up,BIGBANG,YG,2008-08-08,0.825,0.883,6,-4.531,1,0.0831,0.0235,0.0,0.125,0.816,116.919,97293
