,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,2bk43y1inDfHx8fFdXar3l,Rose,D.O.,SM,2021-07-26,0.677,0.352,0,-3.195,1,0.48,0.0,0.133,0.671,74.703,153720,3
1,1jxGBe4s8FwL2ZeNWszVuu,I'm Gonna Love You,D.O.,SM,2021-07-26,0.519,0.445,0,-5.452,0,0.434,0.0,0.258,0.505,200.021,151733,4
2,3B60EkZSvq0tuY7xzjb9Fu,My Love,D.O.,SM,2021-07-26,0.732,0.474,5,-5.004,1,0.767,0.0,0.103,0.347,90.069,174520,4
3,5orHjvcyt71Sv1O4M1GSHf,It's Love,D.O.,SM,2021-07-26,0.396,0.394,4,-6.028,0,0.731,0.0,0.144,0.359,150.383,237120,4
4,0p4AJ91CdS1k8ibpguPJg5,Dad,D.O.,SM,2021-07-26,0.455,0.456,11,-5.807,1,0.716,0.0,0.148,0.168,66.698,174360,4
5,5u6CQi2rgD1EyiztQnrrwY,I'm Fine,D.O.,SM,2021-07-26,0.412,0.417,11,-5.401,0,0.531,0.0,0.0911,0.563,85.404,189067,4
6,2EDpsT55NCISpccODTIUiV,Si Fueras Mía,D.O.,SM,2021-07-26,0.386,0.408,4,-5.568,0,0.687,0.0,0.182,0.398,149.675,237107,4
7,1uOFPJmg1yx3sfBqgv1JAS,I Do,D.O.,SM,2023-09-08,0.894,0.528,11,-5.55,1,0.113,0.0,0.184,0.447,104.874,163200,4
8,2sZEjTi51vnlwpmIAKdwgX,Somebody,D.O.,SM,2023-09-18,0.789,0.567,1,-5.656,1,0.0584,0.0,0.0524,0.695,89.024,158733,4
9,6piqcwymeAa2yyqIP8AjNj,Wonder,D.O.,SM,2023-09-18,0.716,0.368,1,-5.784,0,0.605,0.0,0.131,0.694,144.929,176187,4
10,5XLb6KA3Iykc5bY8vSk9Sq,Lost,D.O.,SM,2023-09-18,0.679,0.768,0,-5.008,0,0.0436,1.22e-06,0.0813,0.268,130.013,188520,4
11,6nZqsYlVsAAN4Q0MHVnLis,Ordinary Days,D.O.,SM,2023-09-18,0.622,0.317,11,-7.347,1,0.734,1.4e-06,0.109,0.233,66.913,186227,4
12,5MvrUHwkiKxT18YmmnBh5Y,The View,D.O.,SM,2023-09-18,0.647,0.715,11,-4.345,1,0.0266,5.49e-06,0.18,0.453,148.031,194000,4
13,0eilxZjVwGfcgzzDEbcFJP,We Young,CHANYEOL,SM,2018-09-14,0.692,0.71,10,-5.64,1,0.0861,0.0,0.0478,0.681,82.016,181162,4
14,4CrjiZPKCIMeDTW1wYZxRG,SSFW,CHANYEOL,SM,2019-04-25,0.57,0.65,8,-8.072,0,0.28,0.0,0.147,0.738,80.012,219336,4
15,1kOIM9LKyTlqdtsLRS7RUR,Tomorrow,CHANYEOL,SM,2021-04-06,0.594,0.554,11,-5.004,1,0.465,0.0,0.133,0.668,77.527,145360,4
16,0joaMfmFVNsqTSGgX767KN,Good Enough,CHANYEOL,SM,2023-10-20,0.774,0.669,6,-3.693,1,0.516,0.0,0.0918,0.617,94.982,196773,4
17,70t25jI554W5AryaaT5Rbu,Beautiful Accident,SUHO,SM,2017-05-30,0.58,0.783,1,-3.507,1,0.342,0.0,0.138,0.348,96.988,177402,4
18,3gE6fZuOsBCOoIWONBtd2T,O2,SUHO,SM,2020-03-30,0.417,0.63,9,-5.872,1,0.0033,0.254,0.307,0.189,139.796,228667,4
19,0wk4GYAryLcXEMvfhzU1bv,Let’s Love,SUHO,SM,2020-03-30,0.542,0.74,6,-2.635,0,0.0177,0.0,0.267,0.336,133.901,229627,4
20,30NvzcboJe3GQRIDkJM0k3,Made In You,SUHO,SM,2020-03-30,0.56,0.723,1,-3.556,1,0.137,0.0,0.13,0.408,149.977,210040,4
21,4vSQmGcgOhsoK5lqmNOEz2,Starry Night,SUHO,SM,2020-03-30,0.326,0.48,5,-5.819,1,0.578,1.51e-06,0.117,0.233,135.714,278107,4
22,5RLYcoMDw5y0ULlCUvMzsQ,Self-Portrait,SUHO,SM,2020-03-30,0.573,0.731,0,-2.667,1,0.145,0.0,0.251,0.268,79.993,230387,4
23,1NDpztr7wYJKDX0LSKnyzV,For You Now,SUHO,SM,2020-03-30,0.396,0.38,10,-7.54,1,0.877,1.39e-05,0.106,0.221,103.465,223747,4
24,0KLRvuV6eAr5uOtWWb5vCR,Morning Star,SUHO,SM,2022-04-04,0.541,0.823,11,-4.594,0,0.00441,2.73e-05,0.077,0.0486,127.91,246587,4
25,40wEuG76R9nFumrBp6PHwm,Grey Suit,SUHO,SM,2022-04-04,0.436,0.482,4,-5.271,1,0.586,9.83e-05,0.124,0.0955,143.831,222893,4
26,3AHV42ObBOu6QZoiCzuF5t,Hurdle,SUHO,SM,2022-04-04,0.679,0.659,2,-4.189,1,0.00179,1.05e-06,0.262,0.649,113.061,186067,4
27,5lmfC8o4ctUv1G88FfuUxa,Decanting,SUHO,SM,2022-04-04,0.577,0.671,4,-6.506,0,0.0716,1.59e-05,0.435,0.288,140.125,232320,3
28,7CiLIJhgXxIcPRtuZG3zKG,Bear Hug,SUHO,SM,2022-04-04,0.369,0.385,5,-6.847,1,0.331,1.56e-05,0.115,0.0742,95.912,268867,4
29,5DKF2JA2jfBAz0WWnbv9Gd,Moment,SUHO,SM,2022-04-04,0.504,0.622,0,-4.285,1,0.621,0.0,0.12,0.297,78.095,199240,4
30,4r3k2iBOPJZHqnmkOFMJEv,You,XIUMIN,SM,2019-05-09,0.432,0.622,4,-4.007,1,0.383,0.0,0.139,0.304,75.193,306520,4
31,1ueAM35cpUd8EjbrIq26AD,Brand New,XIUMIN,SM,2022-09-26,0.686,0.637,1,-5.003,1,0.0287,0.0,0.663,0.416,129.994,184493,4
32,2fil2SbuI84r8e5tcNcFMD,Feedback,XIUMIN,SM,2022-09-26,0.743,0.829,5,-2.175,0,0.0378,6.2e-06,0.38,0.354,113.979,209373,4
33,6qIzMcbsoaVEf6SZJqEbwy,How We Do,XIUMIN,SM,2022-09-26,0.723,0.891,6,-3.032,0,0.112,0.0,0.132,0.725,104.999,223013,4
34,2CyUgxGYahMISF3s9rozch,Love Letter,XIUMIN,SM,2022-09-26,0.532,0.272,11,-9.557,1,0.755,4.68e-05,0.0611,0.157,123.851,254280,4
35,5xyquHR0BJfPtNXAi1mseF,Serenity,XIUMIN,SM,2022-09-26,0.404,0.679,6,-4.391,1,0.0175,0.000112,0.215,0.282,174.039,219320,4
36,4kVNcd29xNwseUPJZEck5Z,Flower,CHEN,SM,2019-04-01,0.442,0.35,2,-8.314,1,0.921,0.0,0.121,0.281,124.346,241086,4
37,5lEvC4905fBtL9GjJKionT,Beautiful goodbye,CHEN,SM,2019-04-01,0.561,0.257,3,-7.844,1,0.933,0.0,0.169,0.337,129.84,269619,4
38,2TXb9wFuNJiLgiMBBvtyVO,Sorry not sorry,CHEN,SM,2019-04-01,0.354,0.312,10,-7.435,1,0.822,0.0,0.117,0.279,135.878,266165,4
39,59Pyly0sGOkIdf1n1ctC7j,Love words,CHEN,SM,2019-04-01,0.575,0.58,4,-5.352,1,0.356,0.0,0.0912,0.221,139.689,216688,4
40,3HqHJaYsBVVDWAe9ha5fGh,I'll be there,CHEN,SM,2019-04-01,0.445,0.324,1,-8.039,1,0.809,0.0,0.109,0.25,72.465,252867,4
41,4cKIpKvM7mmA4ARJC1Jpq5,Portrait of you,CHEN,SM,2019-04-01,0.493,0.332,1,-6.922,1,0.907,1.46e-06,0.124,0.209,123.888,252558,4
42,1afMrs1HEsNDm11GRrLeoW,Shall we?,CHEN,SM,2019-10-01,0.572,0.401,4,-6.067,1,0.543,0.000134,0.117,0.206,139.769,221015,4
43,3qbsRctNTLFSgCvz6ZKYjW,My dear,CHEN,SM,2019-10-01,0.484,0.47,9,-6.959,1,0.581,6.2e-06,0.15,0.131,133.917,238189,3
