,id,title,artist,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,4bounIjCC4xHH7Ae1W8aDq,Alphabet City,The National,2023-09-18,0.576,0.453,11,-11.308,0,0.0494,0.903,0.649,0.0836,0.917,150.053,223760
1,5QD7OqeRVdpFys4QZ3UxeS,Deep End (Paul's in Pieces),The National,2023-09-18,0.533,0.885,0,-7.149,1,0.0386,0.121,0.579,0.184,0.619,87.038,269440
2,75JaY0e1HDkTfetsrQ5vUR,Weird Goodbyes (feat. Bon Iver),The National,2023-09-18,0.523,0.555,8,-7.761,1,0.0776,0.295,0.000859,0.0812,0.715,99.641,303173
3,5AzCPQziPBO51rpUWohrCH,Turn off the House,The National,2023-09-18,0.537,0.879,1,-8.947,1,0.0354,0.0192,0.637,0.112,0.482,160.021,275240
4,0kGhj3TL4RSuwgtqpo1rc4,Dreaming,The National,2023-09-18,0.603,0.699,1,-9.601,1,0.0515,0.583,0.833,0.136,0.27,126.038,226893
5,7aprF5ADDukD1JWHXG9h9z,Laugh Track (feat. Phoebe Bridgers),The National,2023-09-18,0.658,0.564,5,-9.422,1,0.0441,0.66,0.155,0.0636,0.597,146.029,264120
6,5ce3o4fcZbZVdGCDkK6KN7,Space Invader,The National,2023-09-18,0.522,0.823,0,-8.616,1,0.0489,0.0189,0.625,0.117,0.216,110.018,418080
7,4WQLwMzKcPcFX0hrx66f31,Hornets,The National,2023-09-18,0.637,0.445,3,-10.327,1,0.0325,0.782,0.0122,0.0931,0.234,120.034,275213
8,1fdvImMImBQAmX7MCCCtJT,Coat on a Hook,The National,2023-09-18,0.548,0.648,0,-10.947,1,0.0695,0.741,0.0686,0.0872,0.376,108.968,298067
9,1sLKxNNxoegseEHR2AoxdJ,Tour Manager,The National,2023-09-18,0.604,0.682,10,-11.875,1,0.0537,0.679,0.209,0.0958,0.597,76.04,266520
10,7H2VpGKZKgCSVfz8tcnLul,Crumble (feat. Rosanne Cash),The National,2023-09-18,0.386,0.693,7,-8.326,0,0.0595,0.557,0.325,0.0925,0.368,182.154,275133
11,19UdMxbNoAmQcgrF8kXaSb,Smoke Detector,The National,2023-09-18,0.38,0.835,0,-7.926,1,0.0549,0.0278,0.666,0.337,0.497,80.945,467053
12,4xAHN13Q8MgKXO18rSyvzU,Once Upon A Poolside (feat. Sufjan Stevens),The National,2023-04-28,0.479,0.341,1,-11.064,1,0.0301,0.811,0.00141,0.107,0.272,88.977,216427
13,7mUbWcWPImNVcLcNewe2Dy,Eucalyptus,The National,2023-04-28,0.517,0.733,8,-7.32,1,0.0452,0.298,0.0253,0.101,0.385,116.026,264960
14,0o9AwotmTahKoEOHZTtgIk,New Order T-Shirt,The National,2023-04-28,0.558,0.747,3,-8.76,1,0.0489,0.387,0.00514,0.0942,0.372,103.42,296000
15,56QXS0Hk7mKpuLaFJQ3x8F,This Isn't Helping (feat. Phoebe Bridgers),The National,2023-04-28,0.385,0.565,10,-9.871,1,0.0316,0.744,0.383,0.0873,0.58,180.097,244960
