,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0hnsWcb5a4H3IpAbSXeLPg,Christmas EveL,Stray Kids,JYP,2021-11-29,0.877,0.78,5,-3.703,0,0.042,0.0,0.401,0.892,139.984,178530,4
1,7cRYXWQjXyLg6C1Hu9uc1S,24 to 25,Stray Kids,JYP,2021-11-29,0.658,0.452,4,-4.971,1,0.534,0.0,0.0895,0.381,92.107,216773,4
2,68JybsZc5XKAWxmHBL8z0U,Winter Falls,Stray Kids,JYP,2021-11-29,0.69,0.735,11,-4.811,0,0.0696,0.0,0.0946,0.512,97.996,235387,4
3,6JcOCiL2Qlfv4aKYyg2ihk,Awaken,Stray Kids,JYP,2021-12-23,0.49,0.929,9,-2.606,0,0.151,0.0,0.396,0.503,163.992,193976,4
4,6w7dwWYHdrWEDmT3lBwVQB,ROCK,Stray Kids,JYP,2021-12-23,0.771,0.848,9,-4.278,0,0.0183,0.000331,0.0475,0.468,141.992,193469,4
5,5KjcsZHtCTxrrbr2bZluHZ,3rd Eye,Stray Kids,JYP,2021-12-23,0.688,0.725,5,-4.676,0,0.255,0.0,0.112,0.379,139.897,243961,4
6,0I7YEuT1gfVfNmUEDqoRs0,Placebo,Stray Kids,JYP,2021-12-23,0.799,0.811,3,-4.152,1,0.036,0.0,0.0816,0.593,100.012,234661,4
7,0HfcWa99R1HmLAbqWGpDRF,Insomnia,Stray Kids,JYP,2021-12-23,0.675,0.819,11,-3.528,0,0.211,0.0,0.0824,0.779,83.87,206430,4
8,3bYw4SExNTSeFIpRVYrNDe,Behind The Light,Stray Kids,JYP,2021-12-23,0.607,0.527,3,-6.42,1,0.455,0.0,0.121,0.473,174.148,270003,4
9,0H4OkBB1np7bWkCP4EnkiB,My Side,Stray Kids,JYP,2021-12-23,0.564,0.912,5,-4.951,1,0.00381,7.95e-06,0.201,0.378,166.004,216788,4
10,1YXrdkQxSzDI3eh08Fmp9j,N/S,Stray Kids,JYP,2021-12-23,0.811,0.659,4,-4.88,0,0.00214,0.0,0.122,0.369,130.024,224042,4
11,6VlDJlR0xvCjEJwkoO6agZ,0325,Stray Kids,JYP,2021-12-23,0.522,0.917,9,-3.901,0,0.00741,0.0,0.323,0.716,170.096,218442,4
12,3qBlU2fEz1JD098Z5nHvIo,For You,Stray Kids,JYP,2021-12-23,0.766,0.643,1,-7.138,1,0.157,0.0,0.284,0.672,114.045,249433,4
13,2DQ3ccmetoe0RzBnuoHVZJ,Maze of Memories,Stray Kids,JYP,2021-12-23,0.585,0.676,10,-4.598,0,0.105,0.0,0.102,0.0844,129.528,175187,4
14,1HIak6kcz3MRcMuMjKEMiY,Broken Compass,Stray Kids,JYP,2021-12-23,0.675,0.908,5,-3.398,0,0.117,0.0,0.107,0.638,98.09,221453,4
15,2A9f341bPHEwb4Cw7WNlMJ,Hoodie Season,Stray Kids,JYP,2021-12-23,0.748,0.747,6,-6.754,0,0.00986,0.0,0.0644,0.719,89.966,234178,4
16,4b3rGL8LDSkbARUUA20136,VENOM,Stray Kids,JYP,2022-03-18,0.812,0.807,9,-3.354,1,0.11,0.0,0.211,0.4,136.979,194840,4
17,63irPUP3xB74fHdw1Aw9zR,MANIAC,Stray Kids,JYP,2022-03-18,0.581,0.8,1,-2.613,1,0.154,0.0,0.0697,0.709,119.872,182758,5
18,4QDpsNBlllaLGj8zbF2EE0,Charmer,Stray Kids,JYP,2022-03-18,0.786,0.762,1,-2.508,1,0.0524,1.04e-05,0.0971,0.731,90.963,188573,4
19,2L7hSYdvF0CtaM6JisfKEG,FREEZE,Stray Kids,JYP,2022-03-18,0.643,0.868,11,-2.715,0,0.00674,0.0,0.0691,0.657,159.874,178387,4
20,2xo84jGkxFPrZmmBtS3Pkd,Lonely St.,Stray Kids,JYP,2022-03-18,0.686,0.825,7,-3.192,1,0.248,0.0,0.0761,0.603,90.053,164853,4
21,2LzRBroL4J9pXLf1Nsen4s,"Waiting For Us (Bang Chan, Lee Know, Seungmin, I.N)",Stray Kids,JYP,2022-03-18,0.419,0.595,3,-3.925,1,0.102,0.0,0.0895,0.347,87.822,219507,4
22,0oHn3CGVerdfLqIrN6CT42,"Muddy Water (Changbin, Hyunjin, HAN, Felix)",Stray Kids,JYP,2022-03-18,0.76,0.871,1,-4.741,1,0.306,0.0,0.079,0.888,89.989,197360,4
23,2uw2ftfyS4yJLWiTtbxasE,CIRCUS,Stray Kids,JYP,2022-06-10,0.767,0.809,5,-3.734,0,0.0337,0.0,0.0353,0.69,97.958,194440,4
