,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6WdKzXgNyPeSOBI8OWN6Zp,OOH-AHH하게 Like OOH-AHH,TWICE,YG,2015-10-20,0.72,0.876,6,-1.166,1,0.241,0.000101,0.381,0.694,141.997,215091,4
1,6KnkYUz3zXQnftT1fzZcDL,다시 해줘 Do it again,TWICE,YG,2015-10-20,0.73,0.936,7,-0.948,1,0.00795,0.000576,0.128,0.817,136.983,206546,4
2,0hSpfp32DJCwbBBUEkMt9e,미쳤나봐 Going Crazy,TWICE,YG,2015-10-20,0.697,0.937,9,-2.955,0,0.0135,0.0,0.596,0.547,103.948,181484,4
3,4L8ZMG7GMJbKKA40IUDdvH,Truth,TWICE,YG,2015-10-20,0.646,0.725,9,-5.007,1,0.0401,0.0,0.188,0.508,135.752,213896,4
4,3FuzDgDCV9Y9CUFxOWZoHd,Candy Boy,TWICE,YG,2015-10-20,0.734,0.685,1,-3.271,1,0.0175,6.55e-05,0.0582,0.613,179.972,166058,4
5,2HjKU4xwXJeRzJ5re4Z3Mc,Like a Fool,TWICE,YG,2015-10-20,0.716,0.811,10,-4.465,1,0.0545,0.0443,0.105,0.453,89.028,214405,4
6,5w0fJChfLdRN3bGTnJGaSx,CHEER UP,TWICE,YG,2016-04-25,0.548,0.885,6,-1.48,1,0.139,0.0,0.0716,0.509,172.946,208862,4
7,6SDIyevOeOSAQpCqjs5gbi,소중한 사랑 Precious Love,TWICE,YG,2016-04-25,0.662,0.945,7,-2.123,1,0.0377,0.0,0.0692,0.381,126.04,230796,4
8,4V0dFW5rEeJoMpRG9sFt9g,Touchdown,TWICE,YG,2016-04-25,0.789,0.825,2,-2.621,1,0.0441,9.31e-05,0.335,0.672,109.995,202629,4
9,1s0yrbHzVJf822IBQQfJYC,툭하면 톡 Tuk Tok,TWICE,YG,2016-04-25,0.756,0.861,2,-4.352,1,0.0926,0.0,0.0956,0.572,153.985,196456,4
10,7iFRM0bt6ocs4yNsOK9J0t,Woohoo,TWICE,YG,2016-04-25,0.644,0.886,7,-2.488,1,0.0424,1.98e-05,0.196,0.741,176.07,200810,4
11,4UrwWEoLgWhunBElUtoQDX,Headphone 써 My Headphones on,TWICE,YG,2016-04-25,0.648,0.649,9,-5.389,1,0.0567,1.5e-05,0.109,0.211,101.977,196228,4
12,3rhlUWruyuJXfR2yX1wSVu,TT,TWICE,YG,2016-10-24,0.708,0.853,2,-4.398,1,0.0525,0.000173,0.399,0.399,129.946,212991,4
13,5fCkXLRAHKLXq8cYH5ZTIU,1 TO 10,TWICE,YG,2016-10-24,0.621,0.829,1,-3.484,0,0.12,0.0,0.16,0.742,88.428,175200,4
14,3IZbQvfTJIe60MVO4C9SXW,PONYTAIL,TWICE,YG,2016-10-24,0.516,0.955,6,-1.133,1,0.17,0.0,0.751,0.827,161.905,206187,4
15,6tYLj4DlrPsUPrqZp875mK,JELLY JELLY,TWICE,YG,2016-10-24,0.703,0.891,9,-1.282,1,0.111,4.73e-06,0.343,0.855,163.929,210627,4
16,01ZGdD2WsYOYn43KHixzmf,PIT-A-PAT,TWICE,YG,2016-10-24,0.741,0.885,7,-2.475,1,0.114,0.000149,0.293,0.587,89.008,207507,4
