,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0,7HzvvhTmfzvD1dV4F7MIcm,SHADOW,TWICE,JYP,2020-06-01,0.696,0.751,11,-4.966,0,0.161,0.138,0.0,0.282,0.478,110.8,168893
1,4pOPTaIor4ilgBCcOmnJRU,DON’T CALL ME AGAIN,TWICE,JYP,2020-06-01,0.516,0.902,2,-4.686,1,0.175,0.00146,5.31e-05,0.112,0.613,187.873,173347
2,6UrML9LyuaBWgZV3nFLLGl,SWEET SUMMER DAY,TWICE,JYP,2020-06-01,0.707,0.95,6,-3.189,0,0.0645,0.0187,1.14e-05,0.35,0.589,110.029,191987
3,49moLXpCwwantnF78yItWf,Fanfare,TWICE,JYP,2020-06-19,0.669,0.956,6,-2.49,1,0.126,0.0302,9.78e-06,0.0764,0.81,114.922,220240
4,37ZtpRBkHcaq6hHy0X98zn,I CAN'T STOP ME,TWICE,JYP,2020-10-26,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,205493
5,3KCreWc88InXH3XuL54C5a,HELL IN HEAVEN,TWICE,JYP,2020-10-26,0.8,0.81,4,-3.82,0,0.0604,0.182,1.06e-06,0.107,0.694,105.042,179320
6,1LiNP5q2thWScdvCRkJ584,UP NO MORE,TWICE,JYP,2020-10-26,0.709,0.88,2,-2.734,1,0.0585,0.0298,4.46e-06,0.103,0.713,119.948,214240
7,54kGRAmn3I49RPAhdWG2sp,DO WHAT WE LIKE,TWICE,JYP,2020-10-26,0.78,0.896,11,-2.482,0,0.0614,0.0101,0.0,0.091,0.715,124.926,179587
8,2APCo1hwAaua9CslYXqALD,BRING IT BACK,TWICE,JYP,2020-10-26,0.842,0.638,2,-2.73,0,0.0684,0.207,0.0,0.118,0.606,115.051,208133
9,7louodH5FUYuL3yvHQtq3O,BELIEVER,TWICE,JYP,2020-10-26,0.669,0.84,7,-3.176,1,0.0599,0.0294,0.0,0.663,0.483,105.009,196947
10,2xVCwFrNYnllRX1g0drYVI,QUEEN,TWICE,JYP,2020-10-26,0.629,0.837,0,-3.112,1,0.258,0.139,0.0,0.107,0.423,105.882,193573
11,5uZ5VUoj2al8GttE421bTD,GO HARD,TWICE,JYP,2020-10-26,0.791,0.852,6,-3.569,0,0.0449,0.296,1.56e-05,0.0999,0.509,100.062,181520
12,5HSooivbDgCWBOv24vtYiB,SHOT CLOCK,TWICE,JYP,2020-10-26,0.79,0.927,1,-2.429,1,0.141,0.108,0.0,0.357,0.553,97.995,209480
13,2laLdXRHMaHCuqr3DXgzhZ,HANDLE IT,TWICE,JYP,2020-10-26,0.509,0.574,5,-6.035,0,0.262,0.533,0.0,0.0898,0.69,85.96,171053
14,34WYAVk1WHSyMxY9tHRPyA,DEPEND ON YOU,TWICE,JYP,2020-10-26,0.676,0.597,5,-6.249,1,0.0387,0.0953,0.0,0.455,0.522,100.156,198867
15,2gagYYY4R8QimbnFqd96ST,SAY SOMETHING,TWICE,JYP,2020-10-26,0.713,0.841,8,-4.067,1,0.0622,0.0859,0.0,0.0646,0.723,105.963,247360
16,7mBgzdwjJzfnUJtHrRXuCA,BEHIND THE MASK,TWICE,JYP,2020-10-26,0.362,0.813,5,-4.247,1,0.113,0.0689,0.0,0.195,0.346,86.468,218533
17,0rSMzlAKNapoat4NdZYmi3,BETTER,TWICE,JYP,2020-11-11,0.768,0.698,6,-4.712,0,0.046,0.00123,0.00031,0.353,0.584,124.99,223667
18,66eD1wzHyojsvBC7CNJK91,Scorpion,TWICE,JYP,2020-11-18,0.734,0.835,9,-3.927,0,0.0721,0.146,0.0,0.0898,0.568,101.999,208067
19,2xtP8RNbo2BEMzLX7tK7aq,CRY FOR ME,TWICE,JYP,2020-12-18,0.702,0.692,10,-5.405,1,0.0539,0.0542,0.0,0.0877,0.419,144.896,204168
20,0SiX8tNiIZskZrPiAh6XxX,Kura Kura,TWICE,JYP,2021-04-21,0.734,0.714,7,-4.351,1,0.0986,0.166,0.0,0.0648,0.761,130.999,227747
21,23VWZ6sTNXZaa3zXkwJm7g,Strawberry Moon,TWICE,JYP,2021-05-12,0.687,0.865,1,-3.185,0,0.0419,0.191,0.0,0.0845,0.601,107.013,203173
22,6HTwoo4dUOvePNqMsTarPA,Alcohol-Free,TWICE,JYP,2021-06-09,0.688,0.909,8,-1.992,1,0.0624,0.0474,1.35e-06,0.0674,0.702,97.097,210573
23,3YdqewCLgGsFhruA3EhILy,First Time,TWICE,JYP,2021-06-11,0.812,0.754,8,-2.972,0,0.218,0.0535,0.0,0.0495,0.771,107.03,182947
24,2fluM1mE0tKQ6rvM77Vr11,Scandal,TWICE,JYP,2021-06-11,0.898,0.873,2,-2.977,0,0.0535,0.0397,0.00043,0.0846,0.662,119.015,163333
25,51m3W8o9IlVrdWDEyqSY4F,Conversation,TWICE,JYP,2021-06-11,0.817,0.649,1,-4.79,0,0.183,0.17,0.0,0.303,0.737,106.974,147320
26,7Jzo3IObpANz6giPTUrihB,Baby Blue Love,TWICE,JYP,2021-06-11,0.759,0.838,4,-3.201,0,0.0481,0.0313,1e-06,0.118,0.72,115.056,166667
27,0HqzhHq24yCgB9gz5dVFn8,SOS,TWICE,JYP,2021-06-11,0.815,0.916,1,-3.475,1,0.0613,0.136,1.05e-06,0.105,0.85,120.041,173133
28,0hpYo5x9iNMGz52fRrflbT,Perfect World,TWICE,JYP,2021-06-30,0.684,0.877,3,-2.322,0,0.0611,0.0477,0.0,0.344,0.599,134.98,182680
29,4rZ6LHapeH1Cnxgvu8SrFK,Good at Love,TWICE,JYP,2021-07-28,0.745,0.684,6,-3.368,0,0.0568,0.0513,0.0,0.117,0.37,91.021,231233
