,id,title,artist,company,date_released,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,56WSG1r9xBmoaO21mU2zlm,Irony (The Wonder Begins),Wonder Girls,JYP,2007-02-13,0.909,0.529,5,-8.478,0,0.239,1.75e-05,0.1,0.903,107.993,244168,4
1,3tEzm7TDGWkZUXCZbuTkzk,Bad Boy,Wonder Girls,JYP,2007-02-13,0.855,0.658,0,-5.57,0,0.00282,0.0137,0.0749,0.729,117.995,190680,4
2,0JXzPn5zUq75I1jfTwGcft,It's Not Love,Wonder Girls,JYP,2007-02-13,0.766,0.671,2,-5.593,1,0.0503,0.0,0.0881,0.685,129.928,238734,4
3,3rlNbYqMUYdO8w1YiHXtAr,미안한 마음 ∼tears∼,Wonder Girls,JYP,2007-04-27,0.766,0.671,2,-5.593,1,0.0503,0.0,0.0881,0.685,129.928,238734,4
4,3k6sZWeblAmDnTalBiGJPg,쪼요쪼요 (미니게임천국 3 주제가),Wonder Girls,JYP,2007-11-26,0.923,0.868,5,-6.24,1,0.0239,0.000133,0.0862,0.794,119.977,203913,4
5,34ur063WdATV4hGzCeEAsx,So Hot,Wonder Girls,JYP,2008-06-03,0.88,0.695,1,-5.87,0,0.0192,0.00972,0.0515,0.963,139.981,181328,4
6,0zbCjNJqfMu263mz2wFfwn,This Time,Wonder Girls,JYP,2008-06-03,0.768,0.539,5,-4.106,1,0.469,0.0,0.0652,0.699,80.031,276430,4
7,37a8KVlLn7MhdwZq3HeSTb,You're Out,Wonder Girls,JYP,2008-06-03,0.968,0.624,10,-4.404,0,0.00479,1.42e-05,0.068,0.889,117.994,190990,4
8,3A9GGK0wZOPaNhldOkx28A,Anybody,Wonder Girls,JYP,2008-11-18,0.82,0.642,6,-8.915,1,0.2,0.0,0.0698,0.719,91.988,291919,4
9,1qx3a7SoJukUBzB7uUoRPy,The DJ Is Mine,Wonder Girls,JYP,2012-01-12,0.689,0.833,4,-8.305,0,0.259,0.0,0.516,0.549,135.853,240040,4
10,044uIF2KuyEtqIqZ7jsflU,Like Money,Wonder Girls,JYP,2012-07-10,0.692,0.909,4,-4.017,0,0.116,9.24e-05,0.383,0.947,127.015,210857,4
11,1mYP6c4NYOzEoah2pvvuYW,R.E.A.L,Wonder Girls,JYP,2012-06-03,0.712,0.846,9,-2.057,0,0.00498,0.0,0.159,0.678,171.915,200348,4
12,3YuIKY5JleDuF46WwPVvPO,Like This,Wonder Girls,JYP,2012-06-03,0.703,0.864,1,-4.241,1,0.0105,0.0,0.0747,0.712,194.085,192738,4
13,5SYJBBETdf8qpSGkVeS25K,Hey Boy,Wonder Girls,JYP,2012-06-03,0.714,0.911,8,-3.483,1,0.158,2.69e-05,0.332,0.889,89.023,180358,4
14,38Ex5ojIimMyIwAzEQeOJi,Girlfriend,Wonder Girls,JYP,2012-06-03,0.63,0.584,7,-4.397,1,0.242,0.0,0.115,0.714,74.958,240693,4
15,2Utp66VuGfXBZSs5llSPPa,Sorry,Wonder Girls,JYP,2012-06-03,0.372,0.767,6,-2.972,1,0.4,0.0,0.243,0.57,179.798,212502,3
16,2FBNkgK3GbF2tVWxKNFRjX,Why So Lonely,Wonder Girls,JYP,2016-07-05,0.633,0.725,7,-5.084,1,0.111,0.0,0.111,0.805,155.162,206707,4
17,15GyIx7lA0Dz59uKOfvyDj,Beautiful Boy,Wonder Girls,JYP,2016-07-05,0.701,0.794,2,-3.825,0,0.175,6.53e-06,0.0329,0.771,130.047,191942,4
18,2VG0CJNm1uBcaD2omMrIhG,Sweet & Easy,Wonder Girls,JYP,2016-07-05,0.694,0.872,7,-4.234,1,0.00971,0.0,0.273,0.659,126.06,201933,4
19,72iu3hgp40gPZDB5VJeSRM,DRAW ME,Wonder Girls,JYP,2017-02-10,0.632,0.554,9,-5.99,1,0.293,0.0,0.112,0.572,76.03,229887,4
20,7rtqStG9R4TVoDOHcRqLix,Good Bye,Wonder Girls,JYP,2007-09-12,0.889,0.646,5,-8.493,0,0.000167,0.00095,0.26,0.627,120.023,211149,4
21,4Ukg2a9mP2WFg1zrWm5lVh,Take It,Wonder Girls,JYP,2007-09-12,0.769,0.59,9,-6.494,1,0.0326,9.37e-06,0.0754,0.735,145.97,224262,4
22,3Ei1eb3AK5eXsHvbN1jfFk,Move,Wonder Girls,JYP,2007-09-12,0.846,0.621,8,-6.763,0,0.171,9.68e-06,0.0513,0.716,98.019,209451,4
